"대여일자","사용자코드","성별","연령대코드","신규가입자수"
"2018-05-16","회원-내국인","M","60대","14"
"2018-05-16","회원-내국인","M","50대","56"
"2018-05-16","회원-내국인","M","40대","85"
"2018-05-16","회원-내국인","M","30대","100"
"2018-05-16","회원-내국인","M","20대","106"
"2018-05-16","회원-내국인","F","~10대","8"
"2018-05-16","회원-내국인","F","70대~","2"
"2018-05-16","회원-내국인","F","60대","2"
"2018-05-16","회원-내국인","F","50대","12"
"2018-05-16","회원-내국인","F","40대","37"
"2018-05-16","회원-내국인","F","30대","76"
"2018-05-16","회원-내국인","F","20대","126"
"2018-05-15","회원-내국인","M","~10대","34"
"2018-05-15","회원-내국인","M","70대~","2"
"2018-05-15","회원-내국인","M","60대","8"
"2018-05-15","회원-내국인","M","50대","48"
"2018-05-15","회원-내국인","M","40대","119"
"2018-05-15","회원-내국인","M","30대","201"
"2018-05-15","회원-내국인","M","20대","370"
"2018-05-15","회원-내국인","F","~10대","46"
"2018-05-15","회원-내국인","F","70대~","2"
"2018-05-15","회원-내국인","F","60대","6"
"2018-05-15","회원-내국인","F","50대","46"
"2018-05-15","회원-내국인","F","40대","68"
"2018-05-15","회원-내국인","F","30대","177"
"2018-05-15","회원-내국인","F","20대","532"
"2018-05-13","회원-내국인","M","~10대","57"
"2018-05-13","회원-내국인","M","70대~","6"
"2018-05-13","회원-내국인","M","60대","13"
"2018-05-13","회원-내국인","M","50대","64"
"2018-05-13","회원-내국인","M","40대","227"
"2018-05-13","회원-내국인","M","30대","502"
"2018-05-13","회원-내국인","M","20대","781"
"2018-05-13","회원-내국인","F","~10대","75"
"2018-05-13","회원-내국인","F","70대~","5"
"2018-05-13","회원-내국인","F","60대","13"
"2018-05-13","회원-내국인","F","50대","74"
"2018-05-13","회원-내국인","F","40대","194"
"2018-05-13","회원-내국인","F","30대","401"
"2018-05-13","회원-내국인","F","20대","995"
"2018-05-12","회원-내국인","M","~10대","9"
"2018-05-12","회원-내국인","M","70대~","1"
"2018-05-12","회원-내국인","M","60대","7"
"2018-05-12","회원-내국인","M","50대","21"
"2018-05-12","회원-내국인","M","40대","35"
"2018-05-12","회원-내국인","M","30대","58"
"2018-05-12","회원-내국인","M","20대","153"
"2018-05-12","회원-내국인","F","~10대","13"
"2018-05-12","회원-내국인","F","60대","3"
"2018-05-12","회원-내국인","F","50대","23"
"2018-05-12","회원-내국인","F","40대","41"
"2018-05-12","회원-내국인","F","30대","43"
"2018-05-12","회원-내국인","F","20대","129"
"2018-05-11","회원-내국인","M","~10대","43"
"2018-05-11","회원-내국인","M","70대~","1"
"2018-05-11","회원-내국인","M","60대","16"
"2018-05-11","회원-내국인","M","50대","58"
"2018-05-11","회원-내국인","M","40대","130"
"2018-05-11","회원-내국인","M","30대","219"
"2018-05-11","회원-내국인","M","20대","435"
"2018-05-11","회원-내국인","F","~10대","45"
"2018-05-11","회원-내국인","F","70대~","2"
"2018-05-11","회원-내국인","F","60대","7"
"2018-05-11","회원-내국인","F","50대","32"
"2018-05-11","회원-내국인","F","40대","82"
"2018-05-11","회원-내국인","F","30대","185"
"2018-05-11","회원-내국인","F","20대","575"
